All,appliances,All 4000
244.802,244.802,179.6711926606
426.469,426.469,313.0047706422
1993.1794864456,1883.169,1462.8840267491
2981.3056666667,1237.139,2188.1142507645
548.4038776238,519.139,402.4982588065
299.136,299.136,219.5493577982
1342.436,1342.436,985.2741284404
1772.279,1772.279,1300.7552293578
385.186,385.186,282.7053211009
409.129,409.129,300.2781651376
2535.164,2535.164,1860.6708256881
350.442,350.442,257.2051376147
3031.2726666667,1287.106,2224.7872782875
2862.109,2862.109,2100.6304587156
3012.112,3012.112,2210.7244036697
2824.179,2824.179,2072.7919266055
2827.516,2827.516,2075.2411009174
2807.519,2807.519,2060.5644036697
1114.179,1114.179,817.7460550459
70.849,70.849,51.999266055
140.7906528068,70.849,103.332589216
1951.6786666667,207.512,1432.4247094801
2003.3486666667,259.182,1470.34764526
122.516,122.516,89.92
70.849,70.849,51.999266055
374.186,374.186,274.6319266055
277.512,277.512,203.6785321101
242.339,242.339,177.8634862385
71.986,71.986,52.8337614679
896.686790934,886.986,658.1187456396
1647.019,1647.019,1208.8212844037
105.5209373512,100.319,77.4465595238
116.986,116.986,85.8612844037
756.6257503448,682.589,555.3216516292
568.919,568.919,417.5552293578
2075.7726666667,331.606,1523.5028746177
328.312,328.312,240.9629357798
167.178,167.178,122.6994495413
315.449,315.449,231.5222018349
499.787,499.787,366.816146789
353.522,353.522,259.4656880734
259.899,259.899,190.751559633
320.839,320.839,235.4781651376
349.9013106131,294.166,256.8083013674
2187.8126666667,443.646,1605.7340672783
2228.9556666667,484.789,1635.930764526
542.279,542.279,398.0029357798
475.042,475.042,348.6546788991
438.529,438.529,321.856146789
451.049,451.049,331.0451376147
538.439,538.439,395.184587156
403.193,403.193,295.9214678899
334.896,334.896,245.7952293578
321.811,321.811,236.191559633
145.369,145.369,106.6928440367
194.242,194.242,142.5629357798
350.735804808,309.726,257.420774171
196.986,196.986,144.5768807339
90.319,90.319,66.2891743119
180.322,180.322,132.3464220183
606.5568446616,531.989,445.1793355314
2327.1356666667,582.969,1707.9894801223
2161.2556666667,417.089,1586.2426911315
320.319,320.319,235.0965137615
130.319,130.319,95.6469724771
93.652,93.652,68.735412844
276.986,276.986,203.2924770642
198.649,198.649,145.7974311927
211.989,211.989,155.5882568807
215.322,215.322,158.0344954128
1867.8196666667,123.653,1370.8768195719
1831.1526666667,86.986,1343.9652599388
653.0325020083,138.653,479.2899097309
557.4853333333,208.652,409.1635474006
750.8223333333,401.989,551.0622629969
313.659,313.659,230.208440367
190.319,190.319,139.6836697248
256.989,256.989,188.6157798165
220.2271390887,163.649,161.6345974963
122.465332917,86.986,89.8828131501
108.652,108.652,79.744587156
285.319,285.319,209.408440367
323.649,323.649,237.5405504587
83.652,83.652,61.3959633028
86.986,86.986,63.8429357798
86.986,86.986,63.8429357798
123.649,123.649,90.751559633
248.649,248.649,182.4946788991
183.649,183.649,134.7882568807
20.319,20.319,14.9130275229
20.319,20.319,14.9130275229
20.319,20.319,14.9130275229
363.4774650267,286.979,266.7724513958
411.979,411.979,302.3699082569
475.319,475.319,348.8579816514
1931.3396666667,187.173,1417.4970030581
856.667,856.667,628.7464220183
596.431,596.431,437.7475229358
383.962,383.962,281.8069724771
137.834,137.834,101.1625688073
372.296,372.296,273.2447706422
366.7492546224,326.168,269.1737648605
281.3618324238,218.101,206.5040971918
1917.2676666667,173.101,1407.1689296636
1910.6016666667,166.435,1402.2764525994
277.787,277.787,203.8803669725
238.841,238.841,175.296146789
71.986,71.986,52.8337614679
211.989,211.989,155.5882568807
248.649,248.649,182.4946788991
352.033,352.033,258.3728440367
99.304,99.304,72.8836697248
99.304,99.304,72.8836697248
329.304,329.304,241.6910091743
432.24,432.24,317.2403669725
1232.569,1232.569,904.6377981651
1351.959,1351.959,992.2634862385
314.239,314.239,230.6341284404
213.649,213.649,156.8066055046
150.8394,150.8394,110.7078165138
2214.4856666667,470.319,1625.3105810398
220.319,220.319,161.7020183486
175.319,175.319,128.6744954128
182.9209,182.9209,134.2538715596
20.319,20.319,14.9130275229
162.649,162.649,119.375412844
99.836,99.836,73.2741284404
129.319,129.319,94.9130275229
254.319,254.319,186.656146789
262.916,262.916,192.9658715596
2092.9144760469,216.442,1536.084019117
1993.9426666667,249.776,1463.4441590214
249.776,249.776,183.3218348624
2690.566,2690.566,1974.7273394496
